SKU_CD,PROD_NM,BRND,SZ,WT_GMS,CAT_CD,ALLRGY,EAN,DT_LNCH
IN02461,Clarity Aloe Hand Wash,Clarity,750ml,50,PC-HW,"tree nuts,shellfish,peanuts",1698436633757,02/09/22
IN02462,XXX-Nuvelo Colour Protect स्प्रे Shampoo,Nuvelo,250ml,150,PC-SH,"shellfish,gluten",7785929458363,29/10/18
IN02463,Nuarix Stain Remover,Nuarix,150ml,400,HH-LN,"peanuts,sesame",9239604244508,18/01/20
IN02464,Solaris Sensitive फोम Deodorant,Solaris,1000ml,50,PC-DO,eggs,7829598816106,17/08/20
IN02465,Aurova Glass पाउडर Cleaner,Aurova,100ml,200,HH-SC,,3804374126987,09/02/18
IN02466,Toreva लोशन Laundry Capsules,Toreva,250ml,75,HH-LN,,8619970783930,24/11/18
IN02467,Lumeva Oil Control Face Wash,Lumeva,200ml,50,PC-FW,shellfish,5942501657558,01/08/21
IN02468,Alteva फोम Bathroom Cleaner,Alteva,300ml,150,HH-SC,sesame,1070560557381,08/03/21
IN02469,Clarity Hydrating Shampoo,Clarity,300ml,50,PC-SH,,6616153176604,05/11/19
IN02470,Nuarix SPF Moisturiser,Nuarix,250ml,300,PC-MS,"shellfish,eggs,sesame,wheat",3369757554608,24/04/22
IN02471,Nuvelo Laundry Powder,Nuvelo,100ml,300,HH-LN,,5338824996960,25/03/22
IN02472,Novix क्रीम Salted Crackers,Novix,1000ml,75,FB-SN,"shellfish,tree nuts,milk,wheat",1403634874518,20/07/19
IN02473,Glova Rice Cakes,Glova,750ml,150,FB-SN,"gluten,milk,wheat",2930944312137,30/01/21
IN02474,Qualis Granola Bar,Qualis,400ml,50,FB-SN,,7256687230633,13/09/22
IN02475,Alteva Sensitive Deodorant,Alteva,150ml,400,PC-DO,,5104136777678,19/01/22
IN02476,Tolvex Dishwasher Tablets,Tolvex,100ml,100,HH-DW,"gluten,fish",7371967557917,26/06/19
IN02477,Frostine Sensitive Skin तेल Body Wash,Frostine,250ml,200,PC-BW,,2894438826978,12/07/22
IN02478,Glova Rinse Aid,Glova,150ml,300,HH-DW,"shellfish,peanuts,fish",8996908786394,19/11/18
IN02479,Novix साबुन Daily Moisturiser,Novix,150ml,250,PC-MS,"milk,peanuts,gluten,tree nuts",4447427072542,21/01/21
IN02480,Velaris 48hr Spray Deodorant,Velaris,500ml,300,PC-DO,,0954728740758,06/01/19
IN02481,Lumeva Dishwasher शैम्पू Tablets,Lumeva,75ml,200,HH-DW,"fish,sesame,tree nuts,soy",8280356899103,05/03/22
IN02482,Velaris Laundry Capsules,Velaris,400ml,50,HH-LN,"tree nuts,milk,eggs",3993925679741,04/06/22
IN02483,Krisol Gentle Face क्रीम Wash,Krisol,400ml,400,PC-FW,,8626678616330,26/05/22
IN02484,Glova Hydrating Face Wash,Glova,150ml,50,PC-FW,wheat,6249864094662,09/02/22
IN02485,Solaris Lightweight Lotion,Solaris,400ml,50,PC-MS,"soy,fish",4434954121768,29/11/19
IN02486,Gleam Sensitive Skin Body Wash,Gleam,50ml,75,PC-BW,sesame,9348280092058,05/10/20
IN02487,Luminos Fragrance-Free स्प्रे Hand Wash,Luminos,200ml,250,PC-HW,"sesame,fish,gluten",9001923315241,01/03/18
IN02488,Toreva Daily तेल Moisturiser,Toreva,1000ml,400,PC-MS,"gluten,wheat,peanuts,fish",2768612779339,15/07/20
IN02489,Sovara Brightening Face तेल Wash,Sovara,750ml,200,PC-FW,milk,1844576616291,30/01/22
IN02490,Elaris Deep क्रीम Clean Body Wash,Elaris,75ml,50,PC-BW,eggs,8417326523465,22/02/22
IN02491,Elaris Granola Bar,Elaris,300ml,75,FB-SN,milk,3846726440198,03/10/23
IN02492,Hevara जेल Dishwasher Tablets,Hevara,500ml,75,HH-DW,"soy,tree nuts",3542562860786,13/12/18
02493,Elaris Hydrating Face Wash,Elaris,400ml,250,PC-FW,,3407491850584,22/07/19
IN02494,Oralix Mustard Sauce,Oralix,250ml,250,FB-CN,"fish,tree nuts",1206906119597,04/02/23
IN02495,Brightway Exfoliating Face Scrub,Brightway,250ml,150,PC-FW,,3158464394429,09/03/18
IN02496,Verdant Granola Bar,Verdant,1000ml,50,FB-SN,,9231950787302,02/11/21
IN02497,Frosten Mayonnaise,Frosten,50ml,50,FB-CN,peanuts,3292620555566,28/08/19
IN02498,Aevum लोशन Fabric Softener,Aevum,400ml,250,HH-LN,"tree nuts,shellfish,soy",3939943109518,29/08/23
IN02499,Krisol Fabric Softener,Krisol,400ml,500,HH-LN,"sesame,wheat,milk",9572839783016,06/11/22
IN02500,Arovia Whitening शैम्पू Deodorant,Arovia,1000ml,500,PC-DO,"fish,milk",7456256703272,12/02/19
IN02501,Orinum Stain Remover,Orinum,250ml,500,HH-LN,"tree nuts,milk,sesame",2075204690744,02/05/20
IN02502,Teraxis Dish Liquid,Teraxis,300ml,200,HH-DW,"peanuts,shellfish,sesame,eggs",9202444073195,05/06/23
IN02503,Gleam Colour Protect Shampoo,Gleam,750ml,50,PC-SH,,1203672916948,29/05/19
IN02504,Teraxis Antibacterial स्प्रे Hand Wash,Teraxis,300ml,300,PC-HW,"peanuts,shellfish,eggs",0793527565205,12/10/20
IN02505,Zephyr Volumising Shampoo,Zephyr,1000ml,50,PC-SH,,6183215290078,24/04/21
IN02506,Motivo Repair जेल Shampoo,Motivo,200ml,150,PC-SH,,8604283167232,20/06/19
IN02507,Tolvex Intensive Moisturiser,Tolvex,200ml,200,PC-MS,"eggs,milk,fish",0606737788923,24/10/18
IN02508,Novix Daily लोशन Moisturiser,Novix,75ml,50,PC-MS,,7290847980112,12/02/23
IN02509,Arovia Nourishing Body Cleanser,Arovia,300ml,200,PC-BW,"fish,tree nuts,sesame",7579033675941,27/06/23
IN02510,Luminos शैम्पू Dish Liquid,Luminos,750ml,150,HH-DW,"sesame,peanuts,fish",5230804533434,12/04/18
IN02511,Novix Lightweight Lotion,Novix,100ml,50,PC-MS,"milk,gluten,sesame",2675547539641,02/01/19
IN02512,Alteva Moisturising Hand Wash,Alteva,100ml,250,PC-HW,,1723035821721,10/05/22
IN02513,Luminos Oil Control Face Wash,Luminos,500ml,50,PC-FW,"sesame,milk",8861125804438,04/09/18
IN02514,Solvix Fragrance-Free Hand Wash,Solvix,400ml,400,PC-HW,eggs,1271681098177,30/08/22
IN02515,Vivara Moisturising Hand जेल Wash,Vivara,100ml,75,PC-HW,"wheat,fish",7371107068686,10/11/22
IN02516,Tolvex पाउडर Intensive Moisturiser,Tolvex,200ml,75,PC-MS,"shellfish,soy",5946895374251,08/12/19
IN02517,Orinum Sensitive फोम Deodorant,Orinum,300ml,500,PC-DO,"gluten,shellfish,sesame,fish",3951660323701,13/02/19
IN02518,Lumeva Daily Moisturiser,Lumeva,250ml,50,PC-MS,"eggs,tree nuts,gluten",9963230477251,11/09/22
IN02519,Vivara Hydrating तेल Shampoo,Vivara,1000ml,250,PC-SH,soy,8416290628817,07/08/21
IN02520,XXX-Cladis Rice Cakes,Cladis,50ml,150,FB-SN,,9805183434939,27/07/22
IN02521,Sovara Brightening Face Wash,Sovara,500ml,50,PC-FW,"shellfish,gluten,soy,wheat",7244167621873,03/04/21
IN02522,Lumeva Gentle Face Wash,Lumeva,300ml,200,PC-FW,"peanuts,wheat,soy",2683487092959,03/03/19
IN02523,Luxara Moisturising जेल Hand Wash,Luxara,750ml,50,PC-HW,"peanuts,tree nuts,gluten,shellfish",2627733125817,20/06/19
IN02524,Cryston Vinegar Dressing,Cryston,300ml,300,FB-CN,peanuts,0419744765227,27/05/21
IN02525,Cladis साबुन Aloe Hand Wash,Cladis,500ml,250,PC-HW,wheat,6921751713527,01/05/21
IN02526,Gleam Sport जेल Deodorant,Gleam,400ml,50,PC-DO,"milk,gluten",5745807664875,22/10/23
IN02527,Plexum Daily Moisturiser,Plexum,500ml,150,PC-MS,,2760783359488,24/12/19
IN02528,Verdant क्रीम Mayonnaise,Verdant,250ml,100,FB-CN,"sesame,gluten",1603534176549,27/07/22
IN02529,Solven Anti-Dandruff Shampoo,Solven,75ml,75,PC-SH,,1473912983584,22/10/20
IN02530,TEST-Hevara सीरम Lightweight Lotion,Hevara,50ml,75,PC-MS,shellfish,7127715685391,19/01/18
IN02531,Solvix Dish Liquid,Solvix,400ml,200,HH-DW,"shellfish,peanuts",0803089229061,06/12/20
IN02532,Lumeva Colour Protect Shampoo,Lumeva,300ml,250,PC-SH,"peanuts,milk,wheat,tree nuts",9376452658726,20/11/23
IN02533,Cristalix Refreshing क्रीम Shower Gel,Cristalix,500ml,300,PC-BW,"fish,wheat",6008059801887,26/09/23
IN02534,Nuarix Moisturising Body Wash,Nuarix,150ml,50,PC-BW,,5378286872204,20/02/20
IN02535,Purevex Deep Clean Body Wash,Purevex,50ml,500,PC-BW,,6922397662156,07/01/21
02536,Nuarix Anti-Dandruff Shampoo,Nuarix,75ml,500,PC-SH,,7027292942866,06/06/20
IN02537,Arovia Whitening Deodorant,Arovia,150ml,200,PC-DO,"wheat,fish,soy,peanuts",9874955910926,29/07/20
IN02538,Vivara Brightening Face तेल Wash,Vivara,500ml,500,PC-FW,"shellfish,wheat",8346389161904,05/12/21
IN02539,Solaris जेल Whitening Deodorant,Solaris,250ml,150,PC-DO,,2961499094162,01/04/23
IN02540,Teraxis Rinse Aid,Teraxis,1000ml,100,HH-DW,,2798914548111,11/05/19
IN02541,Primus Kitchen Cleaner,Primus,200ml,250,HH-SC,"peanuts,sesame,shellfish,wheat",9400926288659,01/04/18
IN02542,Luminos Kitchen Cleaner,Luminos,50ml,500,HH-SC,,5701974357521,12/06/19
02543,Nuarix क्रीम Sport Deodorant,Nuarix,250ml,300,PC-DO,"milk,sesame,peanuts,soy",9001581236247,06/02/20
IN02544,Gleam Lightweight Lotion,Gleam,1000ml,200,PC-MS,"milk,gluten,wheat",5190672446093,12/01/22
IN02545,Nexpur Glass Cleaner,Nexpur,200ml,500,HH-SC,"shellfish,peanuts,gluten",6308357289098,23/01/19
IN02546,Vanta Tomato स्प्रे Ketchup,Vanta,300ml,150,FB-CN,"shellfish,peanuts",1804202230598,07/05/23
IN02547,Cristalix तेल Sensitive Deodorant,Cristalix,150ml,300,PC-DO,"wheat,sesame,shellfish,soy",5755525868561,14/01/22
IN02548,Krisol Deep Clean Body क्रीम Wash,Krisol,300ml,200,PC-BW,"shellfish,sesame,wheat,tree nuts",6487130002557,05/12/20
IN02549,Qualis Fragrance-Free Hand Wash,Qualis,150ml,150,PC-HW,"shellfish,sesame",5294844704148,04/03/22
IN02550,Polvera Nourishing Body Cleanser,Polvera,300ml,150,PC-BW,shellfish,0695118196136,31/12/23
IN02551,Vivara Hot Chilli Sauce,Vivara,1000ml,250,FB-CN,"gluten,peanuts",2298133241997,01/03/23
IN02552,Helix Multi-Surface Spray,Helix,500ml,50,HH-SC,,6774360489099,30/10/23
IN02553,Brightway Whitening पाउडर Deodorant,Brightway,400ml,75,PC-DO,"soy,fish",9474934768892,19/05/20
IN02554,XXX-Purelix Oat Protein Bar,Purelix,75ml,300,FB-SN,,8776458084313,24/08/22
IN02555,Nexpur Mustard Sauce,Nexpur,75ml,400,FB-CN,"milk,gluten,tree nuts,eggs",1260557402842,08/10/21
IN02556,Novix Rinse फोम Aid,Novix,400ml,300,HH-DW,fish,2681307837315,01/11/23
IN02557,Zenpur Mixed Nuts Blend,Zenpur,750ml,200,FB-SN,,2345923258021,29/03/21
IN02558,Solaris Sport Deodorant,Solaris,75ml,75,PC-DO,"wheat,shellfish,peanuts",3514928632702,23/09/19
IN02559,Cryston Gentle Face Wash,Cryston,200ml,50,PC-FW,sesame,1060763443345,28/08/22
IN02560,Gleam Refreshing Shower सीरम Gel,Gleam,300ml,150,PC-BW,tree nuts,6416298702528,23/01/19
IN02561,Nuvelo 24hr Roll-On Deodorant,Nuvelo,1000ml,150,PC-DO,"eggs,shellfish",2368504485265,30/07/18
IN02562,Glicen Mayonnaise,Glicen,150ml,250,FB-CN,"shellfish,wheat",2405530611395,11/03/18
IN02563,Vivara Nourishing Body Cleanser,Vivara,1000ml,500,PC-BW,"wheat,shellfish,tree nuts,fish",2340870568339,01/10/21
IN02564,Cladis फोम Sport Deodorant,Cladis,150ml,500,PC-DO,"gluten,sesame",1828439974865,23/06/18
IN02565,Hevara Nourishing शैम्पू Body Cleanser,Hevara,250ml,400,PC-BW,soy,8079266094049,28/10/20
IN02566,Luminos Bathroom लोशन Cleaner,Luminos,75ml,400,HH-SC,"milk,tree nuts",6655899065865,29/07/23
IN02567,Nexpur Mixed Nuts Blend,Nexpur,150ml,100,FB-SN,,4300631910690,07/04/23
IN02568,Motivo Volumising Shampoo,Motivo,150ml,250,PC-SH,"eggs,gluten,peanuts,tree nuts",2028612232860,10/05/19
IN02569,XXX-Hevara Daily Moisturiser,Hevara,100ml,200,PC-MS,"peanuts,wheat",2492243023201,03/03/18
IN02570,Serafix Moisturising Body Wash,Serafix,100ml,400,PC-BW,"gluten,wheat,sesame,shellfish",3509791353298,14/08/21
IN02571,Teraxis Antibacterial Hand Wash,Teraxis,400ml,300,PC-HW,gluten,4846764089778,26/01/22
IN02572,Purevex Exfoliating Face Scrub,Purevex,200ml,50,PC-FW,"soy,milk,shellfish,sesame",9063360273157,29/09/22
IN02573,Purelix Kitchen Cleaner,Purelix,75ml,400,HH-SC,fish,2924598977736,17/01/20
IN02574,Serafix जेल Granola Bar,Serafix,500ml,100,FB-SN,,4629222283389,05/12/18
IN02575,Toreva शैम्पू Hydrating Face Wash,Toreva,100ml,100,PC-FW,tree nuts,9062709401442,01/11/18
IN02576,Qualis पाउडर Repair Conditioner,Qualis,100ml,100,PC-CD,"wheat,peanuts,tree nuts,soy",7089393504626,14/02/20
IN02577,XXX-Nuvelo तेल Exfoliating Face Scrub,Nuvelo,75ml,250,PC-FW,tree nuts,8338789591900,26/10/21
IN02578,Frosten Gentle Face Wash,Frosten,1000ml,200,PC-FW,"sesame,shellfish",5950825723231,27/02/18
IN02579,Zephyr Deep Clean Body Wash,Zephyr,500ml,300,PC-BW,,8694846747520,06/02/19
IN02580,Cristalix लोशन Lightweight Lotion,Cristalix,250ml,300,PC-MS,"milk,sesame",6922702525411,29/03/19
IN02581,Krisol Salted Crackers,Krisol,250ml,250,FB-SN,"wheat,peanuts,eggs",2667680940590,06/07/22
IN02582,XXX-Vanta Intensive फोम Moisturiser,Vanta,150ml,150,PC-MS,"peanuts,wheat,gluten",5320654326147,22/06/20
IN02583,Nuarix Daily Moisturiser,Nuarix,1000ml,150,PC-MS,"eggs,tree nuts,wheat",4310915683097,04/02/22
IN02584,Tolvex साबुन Gentle Face Wash,Tolvex,100ml,100,PC-FW,"wheat,fish",4974787067647,28/02/21
IN02585,Purelix Smooth सीरम & Shine Conditioner,Purelix,1000ml,150,PC-CD,,7078101012447,16/11/23
IN02586,Cladis फोम Nourishing Body Cleanser,Cladis,750ml,200,PC-BW,eggs,1874900449103,10/09/18
IN02587,Nuarix Kitchen Cleaner,Nuarix,150ml,75,HH-SC,"gluten,wheat",0499306404122,28/10/18
IN02588,Vanta Deep Clean पाउडर Body Wash,Vanta,1000ml,200,PC-BW,"milk,shellfish,eggs,peanuts",0550315887853,09/06/18
IN02589,Zephyr Foaming Hand Wash,Zephyr,300ml,400,PC-HW,"milk,shellfish",1483515609514,24/12/20
IN02590,Cryston Mixed Nuts Blend,Cryston,400ml,50,FB-SN,eggs,5386115111622,13/04/23
IN02591,Aurova जेल Anti-Dandruff Shampoo,Aurova,250ml,150,PC-SH,"eggs,milk",6165047255319,28/05/18
IN02592,Solaris Kitchen Cleaner,Solaris,75ml,100,HH-SC,milk,7250845240885,25/11/22
IN02593,Tolvex Salted Crackers,Tolvex,750ml,300,FB-SN,"wheat,tree nuts,soy,fish",3601099931915,06/01/21
02594,Aevum Moisturising Body Wash,Aevum,750ml,500,PC-BW,,2971922887414,05/10/21
IN02595,Verdant Oat Protein Bar,Verdant,750ml,100,FB-SN,"peanuts,soy",4502664273869,01/06/22
IN02596,Luxara लोशन Fragrance-Free Hand Wash,Luxara,75ml,75,PC-HW,,5129272430676,13/04/23
IN02597,Alteva Disinfectant Spray,Alteva,150ml,300,HH-SC,"shellfish,sesame,eggs",0708240893511,15/06/20
IN02598,Zenpur Gentle Face Wash,Zenpur,400ml,100,PC-FW,,8236616201728,25/08/21
IN02599,Solvix लोशन Salted Crackers,Solvix,100ml,300,FB-SN,"milk,sesame,fish",9611084039094,10/01/20
IN02600,Cladis Hot Chilli Sauce,Cladis,400ml,150,FB-CN,"milk,sesame,fish",3339950666767,05/02/18
IN02601,Zenpur Granola Bar,Zenpur,50ml,500,FB-SN,,0509083069251,16/07/18
IN02602,Krisol लोशन Oat Protein Bar,Krisol,500ml,50,FB-SN,"tree nuts,fish",4419941243616,27/05/22
IN02603,Zephyr साबुन Nourishing Body Cleanser,Zephyr,100ml,50,PC-BW,"fish,eggs,sesame",8149836784905,28/08/20
IN02604,Orinum Deep लोशन Conditioner,Orinum,400ml,200,PC-CD,"eggs,gluten,shellfish,soy",7550043753157,31/12/22
IN02605,Kaleo 48hr Spray Deodorant,Kaleo,750ml,250,PC-DO,,8386039036749,25/10/22
IN02606,Cladis Bathroom Cleaner,Cladis,400ml,250,HH-SC,tree nuts,1534743927083,05/03/19
IN02607,Cryston Deep Conditioner,Cryston,500ml,50,PC-CD,,3781010320827,07/09/20
IN02608,Arovia Daily सीरम Moisturiser,Arovia,300ml,50,PC-MS,"gluten,milk,shellfish,wheat",7885166190764,03/12/20
IN02609,Aevum SPF Moisturiser,Aevum,50ml,200,PC-MS,"fish,soy",4616222772616,18/03/18
IN02610,Arovia लोशन Sport Deodorant,Arovia,1000ml,50,PC-DO,fish,0284655921891,22/07/21
IN02611,Primus Aloe Hand Wash,Primus,300ml,200,PC-HW,"gluten,soy,sesame,tree nuts",9745391802383,19/04/21
IN02612,Purelix Laundry Capsules,Purelix,75ml,200,HH-LN,fish,3736090857534,01/04/23
IN02613,Orinum Rinse Aid,Orinum,300ml,150,HH-DW,,8342900249274,01/11/21
IN02614,Elaris Leave-In Conditioner,Elaris,300ml,75,PC-CD,"eggs,wheat",1676089601064,16/10/22
IN02615,Lumeva Whitening Deodorant,Lumeva,400ml,500,PC-DO,peanuts,2565829385403,16/05/21
IN02616,Teraxis Granola Bar,Teraxis,250ml,50,FB-SN,gluten,8638346690818,20/11/20
02617,Alteva Lightweight Lotion,Alteva,300ml,50,PC-MS,gluten,6532831530707,25/03/23
IN02618,Lumeva Dish साबुन Liquid,Lumeva,50ml,200,HH-DW,"shellfish,sesame,fish,milk",1508334512989,03/09/19
IN02619,Zenpur Rinse Aid,Zenpur,200ml,75,HH-DW,"soy,gluten,shellfish,peanuts",8147425074383,29/06/19
IN02620,Aevum Refreshing फोम Shower Gel,Aevum,250ml,50,PC-BW,,7867755005352,07/06/23
IN02621,Hevara Hot Chilli Sauce,Hevara,50ml,150,FB-CN,"shellfish,soy,sesame",6142474151636,06/09/19
IN02622,Sovara Rinse Aid,Sovara,300ml,75,HH-DW,"sesame,wheat",4364851782758,23/07/23
IN02623,Oralix Kitchen Cleaner,Oralix,300ml,75,HH-SC,"fish,milk",1741964000925,03/09/21
IN02624,Serafix Aloe Hand Wash,Serafix,1000ml,250,PC-HW,"fish,wheat,shellfish,peanuts",3877765402342,14/04/23
IN02625,Zenpur Anti-Dandruff Shampoo,Zenpur,75ml,150,PC-SH,"peanuts,milk,wheat",8265652936752,11/05/22
IN02626,TEST-Vivara Volumising Conditioner,Vivara,200ml,250,PC-CD,"milk,soy",4989397595534,24/06/22
IN02627,Teraxis Mustard Sauce,Teraxis,100ml,100,FB-CN,,9470544765832,15/02/18
IN02628,Glicen Colour Protect Shampoo,Glicen,1000ml,400,PC-SH,"gluten,wheat,shellfish",0438852871583,13/08/20
IN02629,Plexum लोशन SPF Moisturiser,Plexum,50ml,100,PC-MS,"gluten,shellfish,soy,peanuts",5442402948040,04/10/22
IN02630,Motivo Stain Remover,Motivo,1000ml,500,HH-LN,"milk,sesame,shellfish,soy",3427247711570,12/02/23
02631,Novix Exfoliating Face Scrub,Novix,75ml,250,PC-FW,"eggs,fish,wheat",1736713873141,24/03/18
IN02632,Purevex Mixed Nuts स्प्रे Blend,Purevex,750ml,75,FB-SN,"fish,gluten,eggs",6246988967629,08/11/18
IN02633,Kaleo क्रीम Laundry Powder,Kaleo,200ml,400,HH-LN,"wheat,gluten,peanuts,soy",6867071671485,11/01/22
IN02634,Brightway क्रीम Disinfectant Spray,Brightway,250ml,400,HH-SC,"tree nuts,wheat,soy,sesame",2980093413735,25/10/20
IN02635,Tresol Sport Deodorant,Tresol,200ml,400,PC-DO,,1558221819516,27/12/22
IN02636,Zephyr Colour Protect Shampoo,Zephyr,400ml,50,PC-SH,"shellfish,gluten,fish",9313164538335,28/06/22
IN02637,Zenpur साबुन Night Cream,Zenpur,250ml,50,PC-MS,tree nuts,3321012546759,10/10/18
IN02638,Frosten Lightweight Lotion,Frosten,1000ml,250,PC-MS,"shellfish,gluten,milk,eggs",1705682583207,02/10/18
02639,Qualis Night Cream,Qualis,200ml,250,PC-MS,"soy,fish,shellfish",9883686364441,11/09/23
02640,Polvera Hydrating Shampoo,Polvera,300ml,150,PC-SH,fish,7392060429420,29/07/19
02641,Lumeva Hydrating Shampoo,Lumeva,100ml,200,PC-SH,"peanuts,soy,tree nuts",0697820993874,05/07/19
IN02642,Tresol Hydrating Shampoo,Tresol,50ml,150,PC-SH,"wheat,sesame,soy,peanuts",9015059547612,16/11/22
02643,Glicen Liquid Laundry Detergent,Glicen,1000ml,300,HH-LN,"milk,soy,gluten,wheat",0054680131431,11/09/20
IN02644,Zenpur जेल Antibacterial Hand Wash,Zenpur,400ml,200,PC-HW,wheat,1115495992910,26/04/23
IN02645,Aevum Dish Liquid,Aevum,300ml,50,HH-DW,"eggs,soy,fish,wheat",1765920594839,18/06/22
IN02646,Luminos तेल Sensitive Skin Body Wash,Luminos,75ml,300,PC-BW,"milk,eggs,sesame,wheat",3609643945340,12/07/23
IN02647,Oralix Oil Control Face Wash,Oralix,50ml,300,PC-FW,"gluten,soy,fish",1535305325620,16/06/21
IN02648,Novix Vinegar Dressing,Novix,500ml,500,FB-CN,,4970464855514,15/07/22
IN02649,Nexpur Dishwasher फोम Tablets,Nexpur,200ml,50,HH-DW,"shellfish,peanuts",1193539103898,29/10/18
IN02650,Arovia Rice सीरम Cakes,Arovia,300ml,400,FB-SN,"milk,tree nuts,wheat",1858680439424,27/02/18
IN02651,Solvix Sensitive Skin साबुन Body Wash,Solvix,1000ml,500,PC-BW,"wheat,tree nuts,sesame,soy",8398037037734,05/12/18
IN02652,Vivara Deep Conditioner,Vivara,500ml,500,PC-CD,"gluten,peanuts,tree nuts",3074878134096,30/11/21
IN02653,Nuvelo Salted Crackers,Nuvelo,50ml,250,FB-SN,,1813617000481,05/01/22
IN02654,Glicen जेल Daily Moisturiser,Glicen,100ml,150,PC-MS,"sesame,eggs",0945255396259,19/01/22
IN02655,Nuvelo Antibacterial Hand Wash,Nuvelo,200ml,75,PC-HW,gluten,8701093215297,13/11/20
IN02656,Sovara Repair Shampoo,Sovara,75ml,75,PC-SH,,4832409652612,24/06/19
IN02657,Purelix Repair Shampoo,Purelix,750ml,200,PC-SH,"eggs,milk,sesame,shellfish",1233016796554,18/05/22
IN02658,Cristalix Hot Chilli Sauce,Cristalix,100ml,150,FB-CN,"soy,fish,peanuts,milk",4344622807491,17/08/18
IN02659,XXX-Primus 48hr Spray Deodorant,Primus,1000ml,50,PC-DO,"gluten,tree nuts",0942816836254,31/12/22
IN02660,Helix Kitchen Cleaner,Helix,50ml,500,HH-SC,"wheat,shellfish,peanuts",1059157981556,08/10/21
IN02661,Frostine लोशन Colour Protect Shampoo,Frostine,750ml,250,PC-SH,"wheat,fish",4352217328429,19/12/20
IN02662,Gleam साबुन Laundry Capsules,Gleam,1000ml,100,HH-LN,"sesame,milk,wheat,gluten",2917265134204,03/07/21
IN02663,Solaris स्प्रे Mustard Sauce,Solaris,500ml,75,FB-CN,eggs,4562530302413,18/06/20
IN02664,Glova Moisturising Body Wash,Glova,75ml,150,PC-BW,,4644214377808,01/03/22
IN02665,Tresol Whitening Deodorant,Tresol,100ml,400,PC-DO,"milk,wheat,fish",0497697998725,10/12/21
IN02666,Sovara तेल Aloe Hand Wash,Sovara,1000ml,200,PC-HW,,1350764996729,06/01/23
IN02667,Serafix Rice Cakes,Serafix,150ml,300,FB-SN,"milk,gluten,shellfish,sesame",1947505220115,13/08/19
02668,Glicen Multi-Surface Spray,Glicen,200ml,100,HH-SC,tree nuts,9332381433162,01/11/18
IN02669,Tolvex लोशन Foaming Hand Wash,Tolvex,750ml,400,PC-HW,"peanuts,fish",9707119895114,28/04/19
IN02670,Novix Sensitive Deodorant,Novix,400ml,100,PC-DO,gluten,0371558602641,18/06/19
IN02671,Kaleo Exfoliating Face Scrub,Kaleo,200ml,250,PC-FW,"sesame,peanuts,fish,tree nuts",9371478750805,02/01/22
IN02672,Teraxis Hot Chilli शैम्पू Sauce,Teraxis,75ml,75,FB-CN,"sesame,peanuts,gluten",4002748942440,04/08/20
IN02673,Aurova Disinfectant Spray,Aurova,300ml,300,HH-SC,"milk,peanuts,sesame",8671188161825,30/06/23
IN02674,Gleam पाउडर Rice Cakes,Gleam,150ml,200,FB-SN,"shellfish,peanuts,fish",7845273318819,25/07/21
IN02675,Toreva Foaming Hand Wash,Toreva,200ml,75,PC-HW,tree nuts,4557970790777,15/08/18
IN02676,Qualis SPF Moisturiser,Qualis,150ml,50,PC-MS,milk,1731412725920,21/03/19
IN02677,Clarity Mayonnaise,Clarity,1000ml,500,FB-CN,"fish,shellfish",2405552517743,19/12/23
IN02678,Toreva Sensitive Deodorant,Toreva,100ml,300,PC-DO,"wheat,peanuts",3742822022040,26/10/18
IN02679,Elaris क्रीम Deep Clean Body Wash,Elaris,750ml,300,PC-BW,,7265201487606,12/08/22
IN02680,Orinum Kitchen Cleaner,Orinum,100ml,250,HH-SC,,0932195693203,14/03/22
IN02681,Sovara Salted Crackers,Sovara,250ml,50,FB-SN,"gluten,fish,eggs",5884452364942,23/10/18
IN02682,Vanta Hydrating Shampoo,Vanta,1000ml,100,PC-SH,,8967604062327,31/01/19
IN02683,Nuarix 24hr Roll-On सीरम Deodorant,Nuarix,400ml,250,PC-DO,,9679296058654,17/08/20
IN02684,Solvix Anti-Dandruff Shampoo,Solvix,150ml,200,PC-SH,wheat,0704310772229,27/03/23
IN02685,Aevum Lightweight Lotion,Aevum,250ml,500,PC-MS,"soy,fish,shellfish,wheat",2860176787383,15/10/23
IN02686,Solven Moisturising Body Wash,Solven,75ml,150,PC-BW,,5292383522377,16/07/23
IN02687,Nuvelo 24hr तेल Roll-On Deodorant,Nuvelo,200ml,500,PC-DO,,6324489684600,15/02/21
IN02688,Purelix फोम Volumising Shampoo,Purelix,75ml,300,PC-SH,"tree nuts,peanuts",2793399702140,10/04/22
IN02689,Lumeva लोशन Repair Shampoo,Lumeva,50ml,200,PC-SH,"fish,eggs,milk",2965441904370,20/03/23
IN02690,Lumeva Refreshing Shower Gel,Lumeva,1000ml,300,PC-BW,"milk,tree nuts,gluten",3562372464561,09/02/18
IN02691,Krisol Lightweight साबुन Lotion,Krisol,250ml,75,PC-MS,,9906563226790,19/10/18
IN02692,Solaris Hydrating Shampoo,Solaris,500ml,250,PC-SH,,2592729169420,21/08/19
IN02693,Brightway Smooth & Shine Conditioner,Brightway,250ml,150,PC-CD,"peanuts,eggs,shellfish,wheat",7617657224586,02/11/23
IN02694,Sovara Exfoliating Face Scrub,Sovara,50ml,400,PC-FW,"sesame,soy,gluten,tree nuts",4083378361597,18/01/20
